Author	n (strains)	publication title	journal	publication URL	strains
Ae Kyung Park et al	33	unknown	unknown	unknown	SouthKorea/KDCA0104/2020,SouthKorea/KDCA2183/2021,SouthKorea/KDCA0644/2020,SouthKorea/KDCA0949/2020,SouthKorea/KDCA1889/2021,SouthKorea/KDCA2089/2021,SouthKorea/KDCA0127/2020,SouthKorea/KDCA1336/2020,SouthKorea/KDCA1206/2021,SouthKorea/KDCA2160/2021,SouthKorea/KDCA1984/2021,SouthKorea/KDCA2150/2021,SouthKorea/KDCA1557/2021,SouthKorea/KDCA1635/2021,SouthKorea/KDCA1986/2021,SouthKorea/KDCA1040/2020,SouthKorea/KDCA2144/2021,SouthKorea/KDCA2165/2021,SouthKorea/KDCA2159/2021,SouthKorea/KDCA1522/2021,SouthKorea/KDCA1281/2020,SouthKorea/KDCA1646/2021,SouthKorea/KDCA1955/2021,SouthKorea/KDCA2025/2021,SouthKorea/KDCA2154/2021,SouthKorea/KDCA1810/2021,SouthKorea/KDCA0358/2020,SouthKorea/KDCA0441/2020,SouthKorea/KDCA1758/2021,SouthKorea/KDCA1314/2021,SouthKorea/KDCA0464/2021,SouthKorea/KDCA0523/2020,SouthKorea/KDCA1339/2020
Andriani et al	1	unknown	unknown	unknown	Indonesia/KB-TUH-C2122618/2020
Chan Chia Jui et al	2	unknown	unknown	unknown	Malaysia/UNIMAS-15915/2021,Malaysia/UNIMAS-B082/2020
Zoe Yandle et al	13	unknown	unknown	unknown	Ireland/G-NVRL-e85IRL41644/2021,Ireland/D-NVRL-e84IRL88962/2021,Ireland/D-NVRL-21IRL24248/2021,Ireland/WD-NVRL-85IRL51244/2021,Ireland/WX-NVRL-ec21IRL47191/2021,Ireland/OY-NVRL-e86IRL92319/2021,Ireland/DL-NVRL-e84IRL55189/2021,Ireland/D-NVRL-ec21IRL29992/2021,Ireland/WH-NVRL-ec86IRL30255/2021,Ireland/D-NVRL-ec21IRL54875/2021,Ireland/G-NVRL-ec21IRL66617/2021,Ireland/DL-NVRL-e84IRL61301/2021,Ireland/WH-NVRL-ec86IRL30250/2021
Sara Mfarrej et al	1	unknown	unknown	unknown	SaudiArabia/KAUST-MADINAH1657/2020
Hartanti Dian Ikawati et al	1	unknown	unknown	unknown	Indonesia/JK-NIHRD-MI2101783/2021
Willy Agustine et al	2	unknown	unknown	unknown	Indonesia/JB-EIJK263/2021,Indonesia/JK-EIJK221/2021
Azzania Fibriani et al	6	unknown	unknown	unknown	Indonesia/JB-WJHL-ITB-B11606/2021,Indonesia/JB-WJHL-ITB-B12577/2021,Indonesia/JB-WJHL-ITB-B12203/2021,Indonesia/JB-WJHL-ITB-B08660/2021,Indonesia/JB-WJHL-ITB-A62654/2020,Indonesia/JB-WJHL-ITB-R119840/2020
Yang Song2* et al	1	unknown	unknown	unknown	Beijing/IVDC-07/2020
Vivi Setiawaty et al	2	unknown	unknown	unknown	Indonesia/JK-NIHRD-WGS00108/2021,Indonesia/SU-NIHRD-WGS01600/2021
Collins M. Morang'a et al	31	unknown	unknown	unknown	Ghana/WACCBIP-GS266/2020,Ghana/WACCBIP-GS272/2020,Ghana/WACCBIP-GS273/2020,Ghana/WACCBIP-GS271/2020,Ghana/WACCBIP-GS292/2020,Ghana/WACCBIP-GS361/2020,Ghana/WACCBIP-GS412/2021,Ghana/WACCBIP-GS365/2020,Ghana/WACCBIP-GS408/2021,Ghana/WACCBIP-GS403/2021,Ghana/WACCBIP-GS204/2021,Ghana/WACCBIP-GS401/2021,Ghana/WACCBIP-GS405/2021,Ghana/WACCBIP-GS320/2021,Ghana/WACCBIP-GS411/2021,Ghana/WACCBIP-GS422/2021,Ghana/WACCBIP-GS410/2021,Ghana/WACCBIP-GS404/2021,Ghana/WACCBIP-GS409/2021,Ghana/WACCBIP-GS414/2021,Ghana/WACCBIP-GS373/2020,Ghana/WACCBIP-GS228/2020,Ghana/WACCBIP-GS264/2020,Ghana/WACCBIP-GS185/2020,Ghana/WACCBIP-GS17/2020,Ghana/WACCBIP-GS258/2020,Ghana/WACCBIP-GS257/2020,Ghana/WACCBIP-GS329/2021,Ghana/WACCBIP-GS384/2020,Ghana/WACCBIP-GS385/2020,Ghana/WACCBIP-GS184/2020
Virginia DCLS et al	4	unknown	unknown	unknown	USA/VA-DCLS-3017/2020,USA/VA-DCLS-1239/2020,USA/VA-DCLS-2947/2020,USA/VA-DCLS-0519/2020
Lydia V. Panggalo et al	2	unknown	unknown	unknown	Indonesia/JK-EIJK115/2020,Indonesia/JB-EIJK165/2021
Kartika Dewi Puspa et al	1	unknown	unknown	unknown	Indonesia/YO-NIHRD-WGS01020/2021
Foster et al	23	unknown	unknown	unknown	Australia/NSW-R0007/2021,Australia/NSW2387/2020,Australia/NSW-R0074/2021,Australia/NSW-R0075/2021,Australia/NSW3906/2021,Australia/NSW4374/2021,Australia/NSW-R0130/2021,Australia/NSW4371/2021,Australia/NSW-R0168/2021,Australia/NSW-R0070/2021,Australia/NSW4306/2021,Australia/NSW-R0124/2021,Australia/NSW3456/2020,Australia/NSW-R0129/2021,Australia/NSW4379/2021,Australia/NSW-R0086/2021,Australia/NSW4305/2021,Australia/NSW-R0100/2021,Australia/NSW-R0097/2021,Australia/NSW-R0087/2021,Australia/NSW-R0175/2021,Australia/NSW4348/2021,Australia/NSW-R0016/2021
Subangkit et al	2	unknown	unknown	unknown	Indonesia/JB-NIHRD-C002130196/2021,Indonesia/JB-NIHRD-C002130911/2021
Gordon P et al	2	unknown	unknown	unknown	Canada/AB-50877/2020,Canada/AB-95953/2020
Angel Angelov et al	19	unknown	unknown	unknown	Congo/UKT-008/2020,Congo/Q001C097AE_2101-TM-r1-011/2020,Congo/UKT-002/2020,Congo/Q001C111AI_2101-TM-r1-025/2020,Congo/Q001C089AN_2101-TM-r1-003/2020,Congo/Q001C112AQ_2101-TM-r1-026/2021,Congo/Q001C134AM_2101-TM-r1-048/2020,Congo/Q001C088AF_2101-TM-r1-002/2020,Congo/Q001C114A8_2101-TM-r1-028/2021,Congo/Q001C109A7_2101-TM-r1-023/2020,Congo/Q001C117AW_2101-TM-r1-031/2021,Congo/Q001C107AP_2101-TM-r1-021/2020,Congo/Q001C113A0_2101-TM-r1-027/2021,Congo/Q001C130AO_2101-TM-r1-044/2021,Congo/Q001C121AP_2101-TM-r1-035/2020,Congo/Q001C129AL_2101-TM-r1-043/2021,Congo/Q001C127A5_2101-TM-r1-041/2021,Congo/Q001C128AD_2101-TM-r1-042/2021,Congo/Q001C115AG_2101-TM-r1-029/2021
Grayo Solene et al	1	unknown	unknown	unknown	Guinea/Conakry-INSP-51905/2021
Antoine Dara et al	1	unknown	unknown	unknown	Mali/M00960/2020
Khan et al	1	unknown	unknown	unknown	Pakistan/KPK-KUST-SJTU/2020
Latour J. et al	1	unknown	unknown	unknown	France/OCC-36/2020
Hege Vangstein Aamot et al	2	unknown	unknown	unknown	Norway/CS-09/2020,Norway/Ahus-0107/2021
AlWasti et al	5	unknown	unknown	unknown	Bahrain/340564387_S8_L001/2020,Bahrain/920262933_S19_L001/2020,Bahrain/340809497_S11_L001/2020,Bahrain/340859913_S11/2020,Bahrain/090000572_S16_L001/2020
Alwasti et al	3	unknown	unknown	unknown	Bahrain/340685804/2020,Bahrain/340846550_S17_L001/2020,Bahrain/341063898_S19_L001/2020
Andrés E Castillo et al	1	unknown	unknown	unknown	Chile/RM-ISPCH-81/2020
Mary Petrone et al	5	unknown	unknown	unknown	USA/NH-Yale-1309/2020,USA/RI-Yale-1322/2020,USA/CT-Yale-1499/2021,USA/IL-Yale-1521/2021,USA/CT-Yale-1388/2020
Sarah Schmedes et al	10	unknown	unknown	unknown	USA/FL-BPHL-3012/2020,USA/FL-BPHL-2271/2020,USA/FL-BPHL-3027/2020,USA/FL-BPHL-2623/2020,USA/FL-BPHL-1153/2020,USA/FL-BPHL-3097/2020,USA/FL-BPHL-2314/2020,USA/FL-BPHL-2336/2020,USA/FL-BPHL-2683/2020,USA/FL-BPHL-0857/2020
Keller et al	1	unknown	unknown	unknown	USA/MD-MDH-0485/2020
Jolene Bowers et al	2	unknown	unknown	unknown	USA/AZ-TG379145/2020,USA/AZ-TG745209/2020
OH consortium et al	1	unknown	unknown	unknown	mink/Netherlands/NB-EMC-9-1/2020
Pamela O'Brien et al	5	unknown	unknown	unknown	USA/HI-H200093/2020,USA/HI-H211386/2021,USA/HI-H200038/2020,USA/HI-H200747/2020,USA/HI-H200700/2020
Erin Young et al	3	unknown	unknown	unknown	USA/UT-UPHL-201208035/2020,USA/UT-UPHL-201022144/2020,USA/UT-UPHL-201030072/2020
Lisa Wingerter et al	3	unknown	unknown	unknown	USA/ND-NDDH-0003/2020,USA/ND-NDDH-0014/2020,USA/ND-NDDH-0255/2021
Thanh Le Viet et al	4	unknown	unknown	unknown	Zimbabwe/ZW-25/2020,Zimbabwe/ZW-29/2020,Zimbabwe/ZW-6970/2020,Zimbabwe/ZW-1193B/2020
Meriem LAAMARTI et al	1	Genetic analysis of SARS-CoV-2 strains collected from North Africa: viral origins and mutational spectrum	unknown	https://www.biorxiv.org/content/10.1101/2020.06.30.181123v1	Morocco/RMPS-04/2020
Bert Vanmechelen et al	1	A phylodynamic workflow to rapidly gain insights into the dispersal history and dynamics of SARS-CoV-2 lineages	unknown	https://dx.doi.org/10.1101/2020.05.05.078758	Belgium/BA-02291/2020
Jane Grimwood et al	5	unknown	unknown	unknown	USA/AL-Madison-JFJL/2020,USA/AL-Madison-JFIT/2020,USA/AL-HGSC-JGNR/2021,USA/AL-Madison-JFKF/2020,USA/AL-HGSC-JIET/2021
Ndongo Dia et al	7	unknown	unknown	unknown	Senegal/003/2020,Senegal/65052/2020,Senegal/102/2020,Senegal/6626/2020,Senegal/64766/2020,Senegal/45436/2020,Senegal/45557/2020
Mélanie Albert et al	2	unknown	unknown	unknown	Algeria/G0638_2264/2020,Algeria/G0860_2262/2020
Maximilian Damagnez et al	3	unknown	unknown	unknown	Germany/NW-HHU-261/2020,Germany/NW-HHU-1204/2020,Germany/NW-HHU-1202/2020
Craig S. Richmond et al	4	unknown	unknown	unknown	USA/IA-GMF-14006/2020,USA/MN-GMF-37664/2020,USA/IA-GMF-38015/2020,USA/IA-GMF-B00118/2021
Stephanie Lunn et al	3	unknown	unknown	unknown	USA/KY-KSPHL-100200/2020,USA/KY-KSPHL-100102/2020,USA/KY-KSPHL-100125/2021
Brendan L. O'Connell et al	9	unknown	unknown	unknown	USA/OR-OHSU-8370/2020,USA/OR-OHSU-4311/2020,USA/OR-OHSU-9342/2021,USA/MT-OHSU-8711/2020,USA/OR-OHSU-7562/2020,USA/OR-OHSU-9266/2021,USA/OR-OHSU-9123/2020,USA/OR-OHSU-9268/2021,USA/OR-OHSU-2949/2020
Gorova V et al	11	unknown	unknown	unknown	Lesotho/N3406/2020,Lesotho/N3407/2020,Lesotho/N3409/2020,Lesotho/N3425/2021,Lesotho/N3410/2020,Lesotho/N3411/2021,Lesotho/N3427/2021,Lesotho/N3418/2021,Lesotho/N3423/2021,Lesotho/N3416/2021,Lesotho/N3408/2020
Weldemariam et al	4	unknown	unknown	unknown	Ethiopia/39650/2020,Ethiopia/39379/2020,Ethiopia/61227/2021,Ethiopia/61164/2021
Biazzo et al	2	unknown	unknown	unknown	Malta/BAL-Sliema-9/2020,Malta/BAL-Sliema-1/2020
Joseph Fauver et al	5	unknown	unknown	unknown	USA/CT-Yale-625/2020,USA/CT-Yale-233/2020,DominicanRepublic/Yale-2277/2021,USA/NJ-Yale-1613/2021,DominicanRepublic/Yale-2285/2021
Fernández et al	12	unknown	unknown	unknown	Argentina/PAIS-G0125/2020,Argentina/PAIS-G0048/2020,Argentina/PAIS-G0094/2020,Argentina/PAIS-G0069/2021,Argentina/PAIS-G0064/2020,Argentina/PAIS-G0003/2020,Argentina/PAIS-G0041/2020,Argentina/PAIS-G0068/2021,Argentina/PAIS-G0096/2020,Argentina/PAIS-G0047/2020,Argentina/PAIS-G0062/2020,Argentina/PAIS-G0065/2021
Alexay et al	13	unknown	unknown	unknown	Argentina/PAIS-A0355/2020,Argentina/PAIS-B0040/2020,Argentina/PAIS-A0352/2020,Argentina/PAIS-B0052/2020,Argentina/PAIS-A0456/2021,Argentina/PAIS-A0440/2020,Argentina/PAIS-A0400/2020,Argentina/PAIS-A0451/2021,Argentina/PAIS-A0415/2020,Argentina/PAIS-A0470/2021,Argentina/PAIS-A0493/2021,Argentina/PAIS-A0477/2021,Argentina/PAIS-A0476/2021
Nabaes Jodar et al	3	unknown	unknown	unknown	Argentina/PAIS-A0278/2020,Argentina/PAIS-A0320/2020,Argentina/PAIS-A0142/2020
Joaquín Ezpeleta et al	3	unknown	unknown	unknown	Argentina/PAIS-H0067/2020,Argentina/PAIS-H0089/2020,Argentina/PAIS-H0051/2020
Rechimont et al	1	unknown	unknown	unknown	Argentina/PAIS-A0331/2020
Carina Andrea De Roccis et al	3	unknown	unknown	unknown	Argentina/PAIS-D0088/2021,Argentina/PAIS-D0094/2021,Argentina/PAIS-D0087/2021
Jim Mildenberger et al	3	unknown	unknown	unknown	USA/WY-WPHL-20102835/2020,USA/WY-WPHL-20153907/2020,USA/WY-WPHL-20162580/2020
Lee H. Harrison et al	2	unknown	unknown	unknown	USA/PA-MGEL-00599/2020,USA/PA-MGEL-01187/2020
Jack Dorman et al	1	unknown	unknown	unknown	USA/IN-PU-LH000092761/2020
Tim Roloff et al	5	unknown	unknown	unknown	Liechtenstein/UHB-0711612400/2020,Liechtenstein/UHB-4168696501/2020,Switzerland/ZH-UHB-0715495301/2020,Liechtenstein/UHB-4176656001/2020,Liechtenstein/UHB-714452900/2020
Junyoung Kim et al	1	unknown	unknown	unknown	SouthKorea/KCDC2705/2020
Jack Chen et al	1	unknown	unknown	unknown	USA/AK-PHL142/2020
Gilberto A. Santiago et al	5	unknown	unknown	unknown	USA/PR-CDC-S92/2020,USA/PR-CDC-S153/2020,USA/PR-CDC-S52/2020,USA/PR-CDC-S124/2020,USA/PR-CDC-S31/2020
Daryl Domman et al	2	unknown	unknown	unknown	USA/ID-UNM-IBL519/2020,USA/ID-UNM-IBL_836/2020
Jeremy P. Kamil et al	6	unknown	unknown	unknown	USA/LA-EVTL749/2020,USA/LA-EVTL237/2020,USA/LA-EVTL1751/2021,USA/LA-EVTL1082/2020,USA/LA-EVTL1404/2020,USA/LA-EVTL1723/2021
Meumann et al	9	unknown	unknown	unknown	Australia/NT52/2020,Australia/NT85/2020,Australia/NT92/2021,Australia/NT97/2020,Australia/NT91/2021,Australia/NT101/2021,Australia/NT99/2021,Australia/NT53/2020,Australia/NT51/2020
Ying Tao et al	6	unknown	unknown	unknown	USA/LA-CDC-1264/2020,USA/MO-CDC-2-3954602/2021,USA/AR-CDC-2-3981745/2021,USA/RI_0520/2020,USA/SC_3572/2020,USA/PA-CDC-2-3955980/2020
Liidia Dotsenko et al	5	unknown	unknown	unknown	Estonia/149217/2021,Estonia/2012110054/2020,Estonia/2012180013/2020,Estonia/2012200039/2020,Estonia/2012290046/2020
Anthony Fries et al	20	unknown	unknown	unknown	USA/NC-USAFSAM-S618/2020,Romania/USAFSAM-S543/2020,Romania/USAFSAM-S544/2020,USA/ID-USAFSAM-S669/2020,USA/OH-USAFSAM-S641/2020,USA/MS-USAFSAM-S234/2020,USA/MS-USAFSAM-S258/2020,USA/KS-USAFSAM-S719/2020,USA/OH-USAFSAM-S1039/2020,USA/NC-USAFSAM-S664/2020,USA/CO-USAFSAM-S620/2020,Iraq/USAFSAM-S092/2020,Iraq/USAFSAM-S064/2020,Iraq/USAFSAM-S091/2020,USA/WY-USAFSAM-S414/2020,USA/OH-USAFSAM-S486/2020,USA/SC-USAFSAM-S386/2020,USA/OH-USAFSAM-S0356/2021,USA/MS-USAFSAM-S208/2020,USA/NC-USAFSAM-S694/2020
Jennifer L. Carroll et al	2	unknown	unknown	unknown	USA/LA-EVTL1445/2020,USA/LA-EVTL2034/2021
Blankenship HM et al	6	unknown	unknown	unknown	USA/MI-MDHHS-SC23003/2020,USA/MI-MDHHS-SC24771/2021,USA/MI-MDHHS-SC23303/2021,USA/MI-MDHHS-SC23157/2020,USA/MI-MDHHS-SC24438/2021,USA/MI-MDHHS-SC24881/2021
S. Wesley Long et al	8	unknown	unknown	unknown	USA/TX-HMH-MCoV-26908/2021,USA/TX-HMH-MCoV-22894/2020,USA/TX-HMH-MCoV-19590/2020,USA/TX-HMH-MCoV-21680/2021,USA/TX-HMH-MCoV-24211/2021,USA/TX-HMH-MCoV-19623/2020,USA/TX-HMH-MCoV-30644/2021,USA/TX-HMH-MCoV-26178/2021
CIDM-PH et al.	30	unknown	unknown	unknown	Australia/NSW1477/2021,Australia/NSW1232/2020,Australia/NSW1320/2020,Australia/NSW1430/2021,Australia/NSW1506/2021,Australia/NSW1287/2020,Australia/NSW1288/2020,Australia/NSW1456/2020,Australia/NSW1278/2020,Australia/NSW1480/2021,Australia/NSW1258/2020,Australia/NSW1329/2020,Australia/NSW1447/2021,Australia/NSW1469/2021,Australia/NSW1457/2020,Australia/NSW1459/2020,Australia/NSW1455/2020,Australia/NSW1458/2020,Australia/NSW527/2020,Australia/NSW1482/2021,Australia/NSW1226/2020,Australia/NSW1490/2021,Australia/NSW1505/2021,Australia/NSW1438/2021,Australia/NSW1206/2020,Australia/NSW727/2020,Australia/NSW844/2020,Australia/NSW1080/2020,Australia/NSW660/2020,Australia/NSW1291/2020
Consorcio Mexicano de Vigilancia Genomica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al	27	unknown	unknown	unknown	Mexico/TAM_LANGEBIO_IMSS_0013/2021,Mexico/TAM_LANGEBIO_IMSS_0059/2021,Mexico/TAM_LANGEBIO_IMSS_0018/2021,Mexico/TAM_LANGEBIO_IMSS_0181/2021,Mexico/TAM_LANGEBIO_IMSS_0171/2021,Mexico/TAM_LANGEBIO_IMSS_0179/2021,Mexico/TAM_LANGEBIO_IMSS_0057/2021,Mexico/TAM_LANGEBIO_IMSS_0034/2021,Mexico/TAM_LANGEBIO_IMSS_0033/2021,Mexico/ZAC_LANGEBIO_IMSS_0262/2021,Mexico/TAM_LANGEBIO_IMSS_0014/2021,Mexico/TAM_LANGEBIO_IMSS_0098/2021,Mexico/TAM_LANGEBIO_IMSS_0015/2021,Mexico/TAM_LANGEBIO_IMSS_0074/2021,Mexico/TAM_LANGEBIO_IMSS_0180/2021,Mexico/TAM_LANGEBIO_IMSS_0218/2021,Mexico/TAM_LANGEBIO_IMSS_0089/2021,Mexico/TAM_LANGEBIO_IMSS_0021/2021,Mexico/TAM_LANGEBIO_IMSS_0177/2021,Mexico/TAM_LANGEBIO_IMSS_0051/2021,Mexico/TAM_LANGEBIO_IMSS_0232/2021,Mexico/TAM_LANGEBIO_IMSS_0217/2021,Mexico/TAM_LANGEBIO_IMSS_0162/2021,Mexico/TAM_LANGEBIO_IMSS_0185/2021,Mexico/TAM_LANGEBIO_IMSS_0161/2021,Mexico/ZAC_LANGEBIO_IMSS_0263/2021,Mexico/TAM_LANGEBIO_IMSS_0037/2021
Holmes et al	1	unknown	unknown	unknown	USA/OH-ODH-SC169277/2020
Jacob Garfin et al	6	unknown	unknown	unknown	USA/SD-SDPHL-0048/2020,USA/SD-SDPHL-0061/2021,USA/SD-SDPHL-0149/2021,USA/SD-SDPHL-0062/2021,USA/SD-SDPHL-0041/2020,USA/SD-SDPHL-0044/2020
Yan Li et al	5	unknown	unknown	unknown	USA/GA-CDC-6466/2020,USA/MO-CDC-QAI5-0501/2021,Jamaica/JM-CDC-6603/2020,USA/MS-CDC-6560/2020,USA/GA-CDC-7742/2020
Claudia Wong-Arambula et al	79	unknown	unknown	unknown	Mexico/BCN-InDRE_F11099_S875/2021,Mexico/TAM-InDRE_449/2021,Mexico/QUE-InDRE_374/2021,Mexico/COA-InDRE_507/2021,Mexico/JAL-InDRE_553/2021,Mexico/MOR-InDRE_175/2020,Mexico/MOR-InDRE_463/2021,Mexico/COL-InDRE_547/2021,Mexico/BCS-InDRE_368/2020,Mexico/BCN-InDRE_F11100_S605/2021,Mexico/JAL-InDRE_438/2021,Mexico/GUA-InDRE_F10880_S884/2021,Mexico/GRO-InDRE_163/2020,Mexico/QUE-InDRE_F11030_S867/2021,Mexico/BCS-InDRE_469/2021,Mexico/JAL-InDRE_419/2021,Mexico/BCS-InDRE_471/2021,Mexico/BCS-InDRE_326/2020,Mexico/CHP-InDRE_131/2020,Mexico/SON-InDRE_135/2020,Mexico/TAM-InDRE_382/2020,Mexico/NL-InDRE_122/2020,Mexico/MOR-InDRE_137/2020,Mexico/COA-InDRE_356/2020,Mexico/GUA-InDRE_338/2020,Mexico/COA-InDRE_486/2021,Mexico/SON-InDRE_336/2020,Mexico/MOR-InDRE_118/2020,Mexico/QUE-InDRE_401/2020,Mexico/BCS-InDRE_349/2020,Mexico/PUE-InDRE_269/2020,Mexico/COA-InDRE_516/2021,Mexico/TAM-InDRE_450/2021,Mexico/TAM-InDRE_149/2020,Mexico/TAM-InDRE_344/2020,Mexico/GRO-InDRE_332/2020,Mexico/TAM-InDRE_244/2021,Mexico/CHH-InDRE_F11646_S897/2021,Mexico/CHH-InDRE_F11654_S898/2021,Mexico/CHH-InDRE_F11656_S899/2021,Mexico/TAM-InDRE_236/2021,Mexico/GRO-InDRE_F48G_S568/2021,Mexico/HID-InDRE_271/2020,Mexico/QUE-InDRE_345/2020,Mexico/TLA-InDRE_320/2020,Mexico/VER-InDRE_112/2021,Mexico/NLE-InDRE_F10521_S681/2021,Mexico/GRO-InDRE_146/2020,Mexico/SLP-InDRE_162/2020,Mexico/GUA-InDRE_252/2021,Mexico/TAM-InDRE_165/2020,Mexico/AGU-InDRE_357/2020,Mexico/GUA-InDRE_F10361_S659/2021,Mexico/COA-InDRE_F11072_S843/2021,Mexico/COL-InDRE_546/2021,Mexico/TAB-InDRE_446/2021,Mexico/OAX-InDRE_541/2021,Mexico/MEX-InDRE_318/2020,Mexico/QUE-InDRE_343/2020,Mexico/GTO-InDRE_142/2020,Mexico/QRO-InDRE_144/2020,Mexico/GRO-InDRE_136/2020,Mexico/QUE-InDRE_562/2021,Mexico/MOR-InDRE_528/2021,Mexico/OAX-InDRE_536/2021,Mexico/GRO-InDRE_173/2020,Mexico/MOR-InDRE_462/2021,Mexico/CMX-InDRE_223/2020,Mexico/CAM-InDRE_544/2021,Mexico/CAM-InDRE_F10946_S753/2021,Mexico/TLA-InDRE_176/2020,Mexico/HID-InDRE_521/2021,Mexico/VER-InDRE_418/2021,Mexico/MOR-InDRE_F10665_S816/2021,Mexico/QUE-InDRE_563/2021,Mexico/MIC-InDRE_F10346_S853/2021,Mexico/JAL-InDRE_F107G_S583/2021,Mexico/GTO-InDRE_180/2020,Mexico/MEX-InDRE_263/2020
Emilio Margolles-Clark et al	1	unknown	unknown	unknown	USA/PR-DXXY/2021
Gregory Hovan et al	4	unknown	unknown	unknown	USA/DE-DHSS-F987027/2020,USA/DE-DHSS-B1064286/2021,USA/DE-DHSS-FLW00599230/2020,USA/DE-DHSS-FLW00750590/2021
"Jolene Bowers et al	4	unknown	unknown	unknown	USA/AZ-TG716928/2020,USA/AZ-TG716908/2020,USA/AZ-TG718012/2021,USA/AZ-TG725093/2020
Ana S. Gonzalez-Reiche et al	3	unknown	unknown	unknown	USA/NY-MSHSPSP-PV25816/2020,USA/NJ-MSHSPSP-PV21205/2020,USA/NY-MSHSPSP-PV17881/2020
Rosenthal et al	5	unknown	unknown	unknown	USA/NH-QDX-2975/2021,USA/GA-QDX-2902/2020,USA/MO-QDX-536/2020,USA/AZ-QDX-2310/2020,USA/AR-QDX-4478/2020
Carlson et al	1	unknown	unknown	unknown	USA/SD-SDPHL-0053/2020
Brian Lynch et al	1	unknown	unknown	unknown	USA/GA-CDC-2-3779928/2020
Joy Ritter et al	4	unknown	unknown	unknown	USA/MT-MTPHL-21210010/2021,USA/MT-MTPHL-21210013/2021,USA/MT-MTPHL-21310067/2021,USA/MT-MTPHL-21310055/2021
Daryl M. Gohl et al	2	unknown	unknown	unknown	USA/SD-UMGC_58/2020,USA/SD-UMGC_64/2020
Allison Roder et al	1	unknown	unknown	unknown	USA/MD-NIH-00259/2020
Andrew Lang et al	4	unknown	unknown	unknown	USA/MA-MASPHL-01401/2020,USA/MA-MASPHL-01194/2020,USA/MA-MASPHL-01488/2020,USA/MA-MASPHL-01251/2020
Siddle et al	5	unknown	unknown	unknown	USA/RI-CDCBI-RIDOH_00895/2021,USA/RI-CDCBI-RIDOH_00731/2021,USA/RI-CDCBI-RIDOH_00920/2021,USA/VT-CDCBI-CRSP_01412/2021,USA/CT-CDCBI-CRSP_01438/2021
Keith Gagnon et al	3	unknown	unknown	unknown	USA/IL-IDPH-I-000405/2020,USA/IL-IDPH-COO-I-0001254/2021,USA/IL-IDPH-WHS-S-0001903/2020
Noah Hull et al	7	unknown	unknown	unknown	USA/WY-WPHL-21013513/2021,USA/WY-WPHL-21001347/2021,USA/WY-WPHL-20167742/2020,USA/WY-WPHL-21013542/2021,USA/WY-WPHL-20044553/2020,USA/WY-WPHL-20165858/2020,USA/WY-WPHL-20063393/2020
"James Denvir et al	1	unknown	unknown	unknown	USA/WV-WVU-WV090123/2021
Ramon Lorenzo-Redondo et al	8	unknown	unknown	unknown	USA/IL-NM-3901/2020,USA/IL-NM-5783/2021,USA/IL-NM-6591/2021,Nigeria/BCVL-18517/2021,Nigeria/BCVL-18568/2021,Nigeria/BCVL-18985/2021,Nigeria/BCVL-19041/2021,Nigeria/BCVL-18543/2021
Valerie Reeb et al	1	unknown	unknown	unknown	USA/IA-SHL-1574134/2021
Flores et al	2	unknown	unknown	unknown	USA/SC-DHEC-0273/2021,USA/SC-DHEC-0085/2020
Cassandra Campion et al	1	unknown	unknown	unknown	USA/IN-INSPHL-00347/2021
Gage Moreno et al B	4	unknown	unknown	unknown	USA/WI-UW-3970/2021,USA/WI-UW-4062/2021,USA/WI-UW-3664/2021,USA/WI-UW-3396/2021
SEARCH Alliance San Diego with Jonathan Gonzalez Garcia et al	2	unknown	unknown	unknown	Mexico/SEARCH-7936/2021,Mexico/SEARCH-7934/2021
Deborah A. Nickerson et al	2	unknown	unknown	unknown	USA/WA-S4045/2021,USA/WA-S2912/2020
Jing Zhang et al	2	unknown	unknown	unknown	USA/TN-CDC-JHWD-0396/2020,USA/TN-CDC-JHVW-0350/2020
Scott Nguyen et al	2	unknown	unknown	unknown	USA/DC-DFS-PHL-0141/2021,USA/DC-DFS-PHL-0161/2021
Laura Bankers et al	5	unknown	unknown	unknown	USA/CO-CDPHE-2100160283/2020,USA/CO-CDPHE-2100168628/2020,USA/CO-CDPHE-2100560553/2021,USA/CO-CDPHE-2100541260/2021,USA/CO-CDPHE-2006280582/2020
Janis Doss et al	4	unknown	unknown	unknown	USA/DC-DFS-PHL-0225/2020,USA/DC-DFS-PHL-0270/2020,USA/DC-DFS-PHL-0317/2021,USA/DC-DFS-PHL-0308/2021
Johnson et al	1	unknown	unknown	unknown	USA/NM-DOH-2020321224/2020
Harry Gao et al	2	unknown	unknown	unknown	USA/CA-RD-RA01765/2021,USA/CA-RD626-CV0043/2021
Maryland Department of Health Laboratories Administration et al	5	unknown	unknown	unknown	USA/MD-MDH-0468/2020,USA/MD-MDH-0540/2020,USA/MD-MDH-0205/2020,USA/MD-MDH-0512/2020,USA/MD-MDH-0692/2020
Matthew Sinn et al	2	unknown	unknown	unknown	USA/MO-MSPHL-000258/2020,USA/MO-MSPHL-000271/2020
Matluk et al	3	unknown	unknown	unknown	USA/ME-HETL-J1844/2020,USA/ME-HETL-J2184/2021,USA/ME-HETL-J0036/2020
